id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category","summary","curated","pL_apt","gene_study","disease_study","drug_study"
273,"GSE57875","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57875","RNA-Seq analysis of hnRNPL KO fetal liver cells","Mus musculus","6/7/16","6","RNA-Seq","  fetal liver cells from either hnRNPL wild-type or hnRNPL KO embryos were analysed for differential expression and alternative splicing by RNA-Seq.																																																																																																							",NULL,NULL,NULL,NULL,NULL
298,"GSE71674","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71674","A Co-repressor CBFA2T2 regulates pluripotency and germline development [RNA-seq]","Mus musculus","6/3/16","9","RNA-Seq","  In this experiment we sought to determine how PRDM14 and CBFA2T2 regulate the transcriptome of mouse embryonic stem cells																																																																																																						",NULL,NULL,NULL,NULL,NULL
397,"GSE56566","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE56566","Transcriptional profiles by deep sequencing (RNA-seq) of papillomas generated using the DMBA/TPA protocol from control and transgenic Nanog overexpressing mice","Mus musculus","5/25/16","7","RNA-Seq","  NANOG is a key pluripotency factor in embryonic stem cells that is frequently expressed in squamous cell carcinomas (SCCs). However a direct link between NANOG and SCCs remains to be established. Here we show that inducible overexpression of NANOG in mouse skin epithelia dramatically promotes the formation of carcinomas upon chemical carcinogenesis. Gene expression analyses in pre-malignant skin indicate that NANOG induces a large set of genes associated to stemness and to epithelial-mesenchymal transition (EMT).																																																																																																					",NULL,NULL,NULL,NULL,NULL
401,"GSE81237","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81237","The RNA-binding protein TTP is a global post-transcriptional regulator of feedback control in inflammation [RNA-seq]","Mus musculus","5/25/16","9","RNA-Seq","  RNA-binding proteins (RBPs) facilitate post-transcriptional control of eukaryotic gene expression at multiple levels. The RBP tristetraprolin (TTP/Zfp36) is a signal-induced phosphorylated anti-inflammatory protein guiding unstable mRNAs of pro-inflammatory proteins for degradation and preventing translation. Using iCLIP we have identified numerous mRNA targets bound by wild-type TTP and by a non-MK2-phosphorylatable TTP mutant (TTP-AA) in 1h LPS-stimulated macrophages and correlated their interaction with TTP to changes at the level of mRNA abundance and translation in a transcriptome-wide manner. The close similarity of the transcriptome of TTP-deficient and TTP-expressing macrophages upon short LPS stimulation suggested an effective inactivation of TTP by MK2 under these conditions whereas retained RNA-binding capacity of TTP-AA to 3\\x89\\xdb\\xaaUTRs caused profound changes in the transcriptome and translatome altered NF-\\xeb\\xbcB-activation and induced cell death. Increased TTP binding to the 3UTR of feedback inhibitor mRNAs such as Ier3 Dusp1 or Tnfaip3 in the absence of MK2-dependent TTP neutralization resulted in a strong reduction of their protein synthesis contributing to the deregulation of the NF-\\xeb\\xbcB-signaling pathway. Taken together our study uncovers a role for TTP in NF-\\xeb\\xbcB-signaling and highlights the importance of fine-tuned TTP activity-regulation by MK2 in order to control feedback signaling during the inflammatory response.)																																																																																																	",NULL,NULL,NULL,NULL,NULL
462,"GSE78209","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78209","Pervasive TTP binding but selective target mRNA destabilization in the macrophage transcriptome [RNA-Seq_2]","Mus musculus","5/17/16","42","RNA-Seq","  Precise control of mRNA decay is fundamental for robust yet not exaggerated inflammatory responses to pathogens. Parameters determining the specificity and extent of mRNA degradation within the entire inflammation-associated transcriptome remain incompletely understood. Using transcriptome-wide high resolution occupancy assessment of the mRNA-destabilizing protein TTP a major inflammation-limiting factor we qualitatively and quantitatively characterize TTP binding positions and functionally relate them to TTP-dependent mRNA decay in immunostimulated macrophages. We identify pervasive TTP binding with incompletely penetrant linkage to mRNA destabilization. A necessary but not sufficient feature of TTP-mediated mRNA destabilization is binding to 3\\x89\\xdb\\xaa untranslated regions (UTRs). Mapping of binding positions of the mRNA-stabilizing protein HuR in activated macrophages revealed that TTP and HuR binding sites in 3\\x89\\xdb\\xaa UTRs occur mostly in different transcripts implicating only a limited co-regulation of inflammatory mRNAs by these proteins. Remarkably we identify robust and widespread TTP binding to introns of stable transcripts. Nuclear TTP is associated with spliced-out introns and maintained in the nucleus throughout the inflammatory response. Our study establishes a functional annotation of binding positions dictating TTP-dependent mRNA decay in immunostimulated macrophages. The findings allow navigating the transcriptome-wide landscape of RNA elements controlling inflammation.																																																																																																				",NULL,NULL,NULL,NULL,NULL
463,"GSE79510","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79510","Single-cell RNA sequencing reveals non-canonical brain macrophage activation states in murine neurotrauma","Mus musculus","5/17/16","45","RNA-Seq","  Background: Macrophage polarization programs commonly referred to as \\x89\\xdb\\xcfclassical\\x89\\xdb\\x9d and \\x89\\xdb\\xcfalternative\\x89\\xdb\\x9d activation are widely considered as distinct states that are exclusive of one another and are associated with different functions such as inflammation and wound healing respectively. In a number of disease contexts such as traumatic brain injury (TBI) macrophage polarization influences the extent of pathogenesis and efforts are underway to eliminate pathogenic subsets. However previous studies have not distinguished whether the simultaneous presence of both classical and alternative activation signatures represents the admixture of differentially polarized macrophages or if they have adopted a unique state characterized by components of both classical and alternative activation. Results: We analyzed the polarization of individual macrophages responding to TBI using single-cell RNA sequencing. Analysis of signature polarization genes revealed diverse activation states including M(IL4) M(IL10) and M(LPS IFN\\xeb_). However the expression of a given polarization marker was no more likely than at random to predict simultaneous expression or repression of markers of another polarization program within the same cell suggesting a lack of exclusivity in macrophage polarization states in vivo in TBI. Also unexpectedly individual TBI macrophages simultaneously expressed high levels of signature polarization genes across two or three different polarization states and in several distinct and seemingly incompatible combinations. Conclusions: Single-cell gene expression profiling demonstrated that monocytic macrophages in TBI are not comprised of distinctly polarized subsets but are uniquely and broadly activated. TBI macrophage activation in vivo is deeply complex with individual cells concurrently adopting both inflammatory and reparative features. These data provide physiologically relevant evidence that the early macrophage response to TBI is comprised of novel activation states that are discordant with the current paradigm of macrophage polarization\\x89\\xdb\\xd3a key consideration for therapeutic modulation.																																																																																				",NULL,NULL,NULL,NULL,NULL
474,"GSE77729","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77729"," RNAseq Expression data for mouse liver, Phenobarbital exposed livers and resulting liver tumours.","Mus musculus","5/17/16","7","RNA-Seq","  Through the analysis of mouse liver tumours promoted by distinct routes (DEN exposure alone DEN exposure plus non-genotoxic insult with phenobarbital and non-alcoholic fatty liver disease); we report that the cancer associated hyper-methylated CGI events in mice are also predicated by silent promoters that are enriched for both the DNA modification 5-hydroxymethylcytosine (5hmC) and the histone modification H3K27me3 in normal liver. During cancer progression these CGIs undergo hypo-hydroxymethylation prior to subsequent hyper-methylation; whilst retaining H3K27me3. A similar loss of promoter-core 5hmC is observed in Tet1 deficient mouse livers indicating that reduced Tet1 binding at CGIs may be responsible for the epigenetic dysregulation observed during hepatocarcinogenesis. Consistent with this reduced Tet1 protein levels are observed in mouse liver tumour lesions. As in human DNA methylation changes at CGIs do not appear to be direct drivers of hepatocellular carcinoma progression in mice. Instead dynamic changes in H3K27me3 promoter deposition are strongly associated with tumour-specific activation and repression of transcription. Our data suggests that loss of promoter associated 5hmC in diverse liver tumours licences DNA methylation reprogramming at silent CGIs during cancer progression.																																																																																																				",NULL,NULL,NULL,NULL,NULL
517,"GSE71133","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71133","Injury-induced enhancer remodelling in spinal microglia - a novel mechanism for pain chronification? [RNA-Seq]","Mus musculus","5/12/16","8","RNA-Seq","  Chronic pain is common and devastating. Yet its precise molecular origins remain unclear. The condition induces well-characterised changes in neurons and microglia but it is unknown why they persist long after the precipitating injury has healed. We posit a role for enhancers - regions of open chromatin that define a cell\\x89\\xdb\\xaas transcription factor binding profile. Enhancer profiles can alter upon environmental stimulation functioning as a kind of molecular memory. Here a mouse model of persistent neuropathic pain was used to examine microglial enhancers with flow cytometry and sequencing. We observed injury-specific alterations of enhancers in close proximity to transcriptionally regulated genes. Our data also shine light on details relating to the spinal cord immune response and provide the first genome-wide gene expression profile of isolated microglia in a pain state. We hypothesise that enhancer deposition may constitute a novel mechanism by which painful experiences are encoded on a molecular level.																																																																																																			","2","0",NULL,NULL,NULL
570,"GSE66814","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66814","The interaction of PRC2 with RNA or chromatin is mutually antagonistic [RNA-Seq]","Mus musculus","5/6/16","6","RNA-Seq","  Polycomb repressive complex 2 (PRC2) maintains developmental regulator genes in a repressed state through methylation of histone H3 at lysine 27 (H3K27me3) and is necessary for cell differentiation. We and others have previously found that the PRC2 subunit Suz12 interacts with RNA in vitro and other studies have shown that Ezh2 and Jarid2 also possess RNA binding function. The interaction of PRC2 with RNA has been suggested to regulate PRC2 targeting or enzymatic activity but the RNAs directly bound by PRC2 in cells and the role of each PRC2 RNA binding subunit remain unclear. We have used different CLIP techniques which use UV-crosslinking to allow detection of direct Suz12-RNA interactions as they occur in living mouse ES cells. Suz12 binds nascent RNA and has a preference for interaction with the 3\\x89\\xdb\\xaaUTR showing it does have binding specificity in cells. RNAs bound by Suz12 at the 3\\x89\\xdb\\xaaUTR encode developmental regulator genes. Suz12 remains bound to RNA upon deletion of Ezh2 or Jarid2 showing that it binds RNA independently of other PRC2 subunits. We also show that binding of Suz12 to RNA or chromatin is mutually inhibitory. Although Ezh2 and Jarid2 also bind RNA Ezh2 and Jarid2 deletion causes an increase in Suz12 RNA binding without changing its specificity which reflects the loss of Suz12 from chromatin. Similarly disruption of Suz12-RNA interactions by RNA polymerase II inhibition or RNase treatment increases Suz12 binding to chromatin. These results therefore suggest that Suz12 acts as an RNA sensor binding to the 3\\x89\\xdb\\xaaUTR of nascent RNAs and modulating the interaction of PRC2 with chromatin.																																																																																													",NULL,NULL,NULL,NULL,NULL
571,"GSE75211","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75211","Simultaneous pathway activity inference and global gene expression analysis using RNA-sequencing [SM screen]","Mus musculus","5/6/16","96","RNA-Seq","  Bone marrow derived macrophages treated with small molecules and stimulated with LPS																																																																																																							",NULL,NULL,NULL,NULL,NULL
760,"GSE79018","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79018","Functional characterization of DNA methylation in the oligodendrocyte lineage [RNASeq_Dnmt1cKO_OPC]","Mus musculus","4/14/16","4","RNA-Seq","  Oligodendrocytes derive from progenitors (OPC) through the interplay of epigenetic and transcriptional events. By integrating high-resolution methylomics RNA-sequencing and multiple transgenic lines this study defines the role of DNMT1 in developmental myelination. We detected hypermethylation of genes related to cell cycle and neurogenesis during differentiation of OPC and yet genetic ablation of Dnmt1 resulted in inefficient OPC expansion and severe hypomyelination associated with ataxia and tremors in mice. This phenotype was not caused by lineage switch or massive apoptosis but was characterized by a profound defect of differentiation associated with massive changes in exon-skipping and intron-retention splicing events and by the activation of an endoplasmic reticulum stress response. Therefore loss of Dnmt1 in OPC is not sufficient to induce a lineage switch but acts as an important determinant of the coordination between RNA splicing and protein synthesis necessary for myelin formation.																																																																																													",NULL,NULL,NULL,NULL,NULL
784,"GSE80128","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80128","Evidence for two protein coding transcripts at the Igf2as locus","Mus musculus","4/12/16","8","RNA-Seq","  The insulin-like growth factor 2 antisense (Igf2as) gene is part of the Ins-Igf2-H19 imprinted gene cluster. The function of the paternally expressed Igf2as is still elusive.In our previous work we showed that Igf2as transcripts were located in the cytoplasm of C2C12 mouse myoblast cells associated with polysomes and polyadenylated suggesting that Igf2as is protein coding. In the present work the protein coding capacity of Igf2as was investigated. We demonstrate for the first time the existence of a polypeptide translated from an Igf2as construct. Furthermore an RNA-Seq analysis was performed using RNA prepared from skeletal muscles of newborn wild-type and \\x89\\xf6\\xa0DMR1-U2 mice to further elucidate the function of Igf2as transcripts. We found no evidence for a regulatory role of Igf2as in the imprinted gene cluster. Interestingly the RNA-Seq analysis indicated that Igf2as plays a role in the energy metabolism the cell cycle histone acetylation and muscle contraction pathways. Our Igf2as investigations further elucidated that there are two distinct Igf2as transcripts corresponding to two putative ORFs.																																																																																																",NULL,NULL,NULL,NULL,NULL
840,"GSE73711","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73711"," RNA sequencing of e15.5 pancreas from Wild Type, Blinc1-/- and Blinc+/- mice.","Mus musculus","4/6/16","9","RNA-Seq","  We report the transcriptome changes that result of the genomic deletion of one or two alleles of an islet-specific long non-coding RNA (Blinc1) in isolated pancreas from e15.5 mouse embryos.																																																																																																							",NULL,NULL,NULL,NULL,NULL
845,"GSE68147","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68147","Anterior Heart Field (AHF)-conditional Mef2c Knockout","Mus musculus","4/5/16","8","RNA-Seq","  We have performed conditional inactivation of mef2c in the anterior heart field (AHF) of mice and observed a phenotypic spectrum of outflow tract anomalies in the conditional mutant hearts. In an effort to identify misregulated genes in the outflow tracts of the mutants we have performed RNA-Seq on outflow tract samples dissected from E10.5 mutant and wild-type embryos.																																																																																																						",NULL,NULL,NULL,NULL,NULL
865,"GSE68831","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68831","Long-range chromosome interactions mediated by cohesin shape circadian gene expression [RNA-Seq]","Mus musculus","4/4/16","4","RNA-Seq","  Mammalian circadian rhythm is established by the negative feedback loops consisting of a set of clock genes which lead to the circadian expression of thousands of downstream genes. As genome-wide transcription is organized under the high-order chromosome structure it is unclear how circadian gene expression is influenced by chromosome structure. In this study we focus on the function of chromatin structure proteins cohesin as well as CTCF (CCCTC-binding factor) in circadian rhythm. We analyzed the interactome of a Bmal1-bound enhancer upstream of a clock gene Nr1d1 by 4C-seq and observed that cohesin binding sites are enriched in the interactome. Integrating circadian transcriptome data and cistrome data we found that cohesin-CTCF co-binding sites tend to insulate the phases of circadian oscillating genes while cohesin-non-CTCF sites facilitate the interaction between circadian enhancer and promoter. A coarse-grained model integrating the long-range effect of cohesin and CTCF markedly improved our mechanistic understanding of circadian gene expression. This model is subsequently supported by our RNA-seq data from cohesin knockout cells. Cohesin is required at least in part for driving the circadian gene expression by facilitating the enhancer-promoter looping. Taken together our study provided a novel insight into the relationship between circadian transcriptome and the high-order chromosome structure.																																																																																																",NULL,NULL,NULL,NULL,NULL
891,"GSE79244","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79244","RNA-Sequencing of Klf6 silenced oligodendrocytes","Mus musculus","4/1/16","8","RNA-Seq","  We examine the role of Klf6 in oligodendrocyte progenitor cells and determine that Klf6 acts as a gp130-sensitive transactivator of the nuclear import factor importin-\\xeb\\xb15 (Imp\\xeb\\xb15) a key controller of nuclear trafficking in oligodendrocytes.																																																																																																						",NULL,NULL,NULL,NULL,NULL
912,"GSE71943","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71943","RNASeq in mouse Alkbh1 KO and WT ESC","Mus musculus","3/30/16","6","RNA-Seq","  It has widely accepted that 5-methylcytosine is the only form of DNA methylation in mammalian genomes whereas the other forms such as N6-methyladenine primarily exist in prokaryotes and only a few eukaryotes. Herein we demonstrated the surprising presence of N6-methyladenine in mammalian genomes especially mouse embryonic stem cells. This modification is enriched at histone variant H2A.X-deposited genomic regions in wild type embryonic stem cells. Our work also showed that a previously unknown DNA demethylase Alkbh1 is the major demethylase for N6-methyladenine in embryonic stem cells. Increase of N6-methyladenine levels in Alkbh1 deficient cells leads to silencing of genes that regulate embryonic development. Surprisingly genes located on the X-chromosome but not the Y-chromosome or autosomes are preferentially silenced by N6-methyladenine. Strikingly N6-methyladenine in Alkbh1 deficient cells are specifically deposition at young full-length subfamilies of LINE1 transposons that are strongly enriched on the X chromosome. Furthermore N6-methyladenine deposition on LINE1s pattern is inversely correlated with their evolutionary age. The deposition of N6-methyladenine results in epigenetic silencing of such L1s which are otherwise actively transcribed in wild type embryonic stem cells and the neighboring enhancers and genes. Furthermore N6-methyladenine induced-silencing resists gene activation signals during embryonic stem cell differentiation. Thus N6-methyladenine adopts a new function in epigenetic silencing in evolution distinct from its role in gene activation in other organisms. In Summary																																																																																					",NULL,NULL,NULL,NULL,NULL
918,"GSE79654","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79654","RISC-mediated control of selected chromatin regulators stabilizes ground state pluripotency of mouse embryonic stem cells (miRNA-Seq)","Mus musculus","3/29/16","4","RNA-Seq","  We performed an integrated analysis of RNA and proteins at the transition between na\\xcc\\xf8ve ES cells and cells primed to differentiate. During this transition mRNAs coding for chromatin regulators were specifically released from translational inhibition mediated by RNA-Induced Silencing Complex (RISC). This suggests that prior to differentiation the propensity of ES cells to change their epigenetic status is hampered by RNA interference. The expression of these chromatin regulators was reinstated following acute inactivation of RISC and it correlated with loss of stemness markers and activation of early cell differentiation markers in treated ES cells.																																																																																																			",NULL,NULL,NULL,NULL,NULL
931,"GSE77847","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77847"," Dnmt3a haploinsufficiency transforms Flt3-ITD myeloproliferative disease into a rapid, spontaneous, and fully-penetrant acute myeloid leukemia (Single Cell RNA-Seq)","Mus musculus","3/27/16","96","RNA-Seq","  Cytogenetically normal acute myeloid leukemia (CN-AML) represents nearly 50% of human acute myeloid leukemia (AML) cases with a 5-year overall survival of approximately 30%. In CN-AML with poorer prognosis mutations in the de novo DNA methyltransferase (DNMT3A) and the FMS-like tyrosine kinase 3 (Flt3) commonly co-occur (1-3). We demonstrate that mice with Flt3-internal-tandem duplication (Flt3ITD) and inducible deletion of Dnmt3a spontaneously develop a rapidly-lethal completely-penetrant and transplantable AML of normal karyotype. These murine AML retain a single Dnmt3a floxed allele revealing the oncogenic potential of Dnmt3a haploinsufficiency. FLT3-ITD/DNMT3A-mutant primary human and murine AML demonstrate a similar pattern of global DNA methylation. In the murine model rescuing DNMT3A expression was accompanied by DNA re-methylation and loss of clonogenic potential suggesting that Dnmt3a-mutant oncogenic effects are reversible. Differentially methylated genomic regions were associated with changes in the expression of nearby genes. Moreover dissection of the cellular architecture of the AML model using single-cell RNA-Seq flow cytometry and colony assays identified clonogenic subpopulations that differentially express genes that are sensitive to the methylation of nearby genomic loci and varied in response to Dnmt3a levels. Thus Dnmt3a haploinsufficiency transforms Flt3ITD myeloproliferative disease by modulating methylation-sensitive gene expression within a clonogenic AML subpopulation.																																																																																														",NULL,NULL,NULL,NULL,NULL
945,"GSE70314","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70314","Atad2 is a generalist facilitator of chromatin dynamics in embryonic stem cells [Atad2_ES_RNAseq_BI]","Mus musculus","3/24/16","4","RNA-Seq","  Although the conserved AAA ATPase \\x89\\xdb\\xd2 bromodomain factor ATAD2 has been described as a transcriptional co-activator upregulated in many cancers its function remains poorly understood. Here using a combination of ChIP-seq ChIP-proteomics and RNA-seq experiments in embryonic stem cells we found that Atad2 is an abundant nucleosome-bound protein present on active genes associated with chromatin remodelling DNA replication and DNA repair factors. A structural analysis of its bromodomain and subsequent investigations demonstrate that histone acetylation guides ATAD2 to chromatin resulting in an overall increase of chromatin accessibility and histone dynamics which is required for the proper activity of the highly expressed gene fraction of the genome. While in exponentially growing cells Atad2 appears dispensable for cell growth in differentiating ES cells Atad2 becomes critical in sustaining specific gene expression programs controlling proliferation and differentiation. Altogether this work defines Atad2\\x89\\xdb\\xaas function as a facilitator of general chromatin-templated activities such as transcription.																																																																																									",NULL,NULL,NULL,NULL,NULL
