id,"accession","source_link","study_title","organism","date_last_update","number_of_samples","study_category"
35,"GSE81660","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81660","Transcription Factor TLX1 Controls Retinoic Acid Signaling to Ensure Spleen Development [ChIP-Seq]","Mus musculus","2016-07-01","3",""
36,"GSE76416","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76416","The meiotic recombination activator PRDM9 trimethylates both H3K4 and H3K36 at recombination hotspots in vivo","Mus musculus","2016-06-30","4",""
37,"GSE75787","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75787","Loss of Asxl1 Alters Self-Renewal and Cell Fate of Bone Marrow Stromal Cell","Mus musculus","2016-06-30","4",""
38,"GSE70123","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70123","Adipose Rab10 Knockout Causes Insulin Resistance through Impaired Glucose Uptake","Mus musculus","2016-06-30","6",""
39,"GSE57871","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57871","RNA-seq analysis of vorinostat-resistant HCT116 cells following gene knockdown of GLI1 or PSMD13 with or without vorinostat treatment","Homo sapiens","2016-06-30","42","rna_seq"
40,"GSE83888","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83888","Anti-Inflammatory Effects of Budesonide in Human Fetal Lung","Homo sapiens","2016-06-30","9",""
41,"GSE83884","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83884","Dissecting the Precise Role of Histone H3 K9 Methylation in Crosstalk with DNA Maintenance Methylation in Mammalian Cells","Mus musculus","2016-06-30","2",""
42,"GSE83146","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83146","Single-Cell RNAseq Reveals That Pancreatic _-Cells From Very Old Male Mice Have a Young Gene Signature","Mus musculus","2016-06-30","207","rna_seq"
43,"GSE79826","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79826","Genome-wide map of HIRA binding sites in the mouse embryonic heart at E12.5","Mus musculus","2016-06-30","2",""
44,"GSE79920","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79920","Single-nucleus RNA-seq on undifferentiated human KD3 myoblasts and differentiated myotubes and mononucleated cells.","Homo sapiens","2016-06-30","254","rna_seq"
45,"GSE79937","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE79937","Mesp1Cre;Hira-/fl and Mesp1Cre;Hira+/fl in heart at E11.5 and E12.5","Mus musculus","2016-06-30","12",""
46,"GSE71156","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71156","Allele-specific ATAC-seq","Mus musculus","2016-06-30","7",""
47,"GSE76735","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76735","Detection of plant microRNAs in EVOO and plasma samples of healthy volunteers 2 hours postingestion of 40 mL of EVOO.","Olea europaea; Homo ","2016-06-30","2","rna_seq"
48,"GSE75417","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75417","mRNA-seq analysis of B3 pre-B cell line from STATegra Project","Mus musculus","2016-06-30","36","rna_seq"
49,"GSE70189","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70189","Human and mouse DRIP-seq and DRIPc-seq","Mus musculus; Homo s","2016-06-30","13",""
50,"GSE82123","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82123","Genome-wide binding of hSTN1 in response to hydroxyurea-induced replication stress","Homo sapiens","2016-06-30","3",""
51,"GSE43726","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE43726","RNA-sequencing (RNA-seq) in breast cancer cell lines after ectopic manipulation of miR-26a expression","Homo sapiens","2016-06-30","4","rna_seq"
52,"GSE70352","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70352","RNA-sequencing analysis of liver from mice overexpressing miR-30c","Mus musculus","2016-06-30","11","rna_seq"
53,"GSE68799","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68799","RNASeq identified human transcriptome alterations in Chinese Nasopharyngeal Carcinoma","Homo sapiens","2016-06-30","46","rna_seq "
54,"GSE77762","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77762","LNCaP LSD1 knockdown and SP-2509 treatment ChIP-seq data","Homo sapiens","2016-06-30","24",""
55,"GSE75394","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75394","miRNA-seq analysis of B3 pre-B cell line from STATegra Project","Mus musculus","2016-06-30","36","rna_seq"
56,"GSE75393","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75393","Methyl-seq analysis of B3 pre-B cell line from STATegra Project","Mus musculus","2016-06-30","36",""
57,"GSE75390","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75390","DNase-seq analysis of B3 pre-B cell line from STATegra Project","Mus musculus","2016-06-30","36",""
58,"GSE80113","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80113","Transcriptome analysis of virus-specific H2-Db-GP33-41+CD8+ T cells from WT or PSGL-1 KO mouse spleens at day 9 post LCMV Cl 13 infection","Mus musculus","2016-06-30","4",""
59,"GSE80745","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80745","RNA sequencing expression analysis of murine MLL-AF9;NRAS acute myeloid leukemia cells silenced for E2-2.","Mus musculus","2016-06-29","6","rna_seq"
60,"GSE83808","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83808","T cells from paroxysmal nocturnal hemoglobinuria patients show an altered TNFR signaling pathway","Homo sapiens","2016-06-29","24","rna_seq "
61,"GSE83790","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83790","HNF6 and Rev-erba Integrate Hepatic Lipid Metabolism By Overlapping and Distinct Transcriptional Mechanisms [ChIP-Seq]","Mus musculus","2016-06-29","6",""
62,"GSE71873","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71873","Genome-wide analysis of gene expression using in vitro cultured control and Lats1/2 deficient hepatoblasts [RNA-Seq]","Mus musculus","2016-06-29","8","rna_seq"
63,"GSE68462","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68462","RNA sequencing expression analysis of murine Tet-off MLL-AF9;NRAS acute myeloid leukemia cells over-expressing Id2 and upon MLL-AF9 withdrawal","Mus musculus","2016-06-29","14","rna_seq"
64,"GSE68461","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE68461","RNA sequencing analysis of murine MLL-AF9 acute myeloid leukemia cells expressing different levels of Id2 and Kit","Mus musculus","2016-06-29","12","rna_seq"
65,"GSE71058","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71058","Gene expression profiling in dentate granule cells from patients with mesial temporal lobe epilepsy with or without hippocampal sclerosis","Homo sapiens","2016-06-29","22",""
66,"GSE81044","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81044","Zfp281 Coordinates Opposite Functions of Tet1 and Tet2 for Alternative Pluripotent States [RNA-Seq]","Mus musculus","2016-06-28","14","rna_seq "
67,"GSE81042","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81042","Zfp281 Coordinates Opposite Functions of Tet1 and Tet2 for Alternative Pluripotent States [ChIP-Seq]","Mus musculus","2016-06-28","2",""
68,"GSE78131","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78131","Systematic characterization of seminal plasma piRNAs as molecular biomarkers for male infertility","Homo sapiens","2016-06-28","3","rna_seq"
69,"GSE75410","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75410","Mitochondrial unfolded protein response controls matrix pre-RNA processing and translation","Homo sapiens","2016-06-28","6","rna_seq"
70,"GSE80550","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80550","TRIM28 is an epigenetic barrier to induced pluripotent stem cell reprogramming","Mus musculus","2016-06-28","12",""
71,"GSE64080","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64080","RNA-Seq of Cultured Mouse Podocytes","Mus musculus","2016-06-28","4","rna_seq "
72,"GSE67783","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67783","CTCF and CohesinSA-1 Mark Active Promoters and Boundaries of Repressive Chromatin Domains in Primary Human Erythroid Cells [ChIP-Seq]","Homo sapiens","2016-06-28","12",""
73,"GSE75247","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE75247","Mitochondrial unfolded protein response controls matrix pre-RNA processing and translation","Homo sapiens","2016-06-28","9","rna_seq"
74,"GSE63975","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE63975","DNAse-Seq of Cultured Mouse Podocytes","Mus musculus","2016-06-28","7",""
75,"GSE67892","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67892","CTCF and CohesinSA-1 Mark Active Promoters and Boundaries of Repressive Chromatin Domains in Primary Human Erythroid Cells [RNA-Seq]","Homo sapiens","2016-06-28","6","rna_seq"
76,"GSE76606","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76606","Asynchronous combinatorial action of four regulatory factors activates Bcl11b for T cell commitment","Mus musculus","2016-06-27","8",""
77,"GSE74601","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74601","Microbial-Derived Metabolites Regulate the Colonic Crypt Niche","Mus musculus","2016-06-27","12",""
78,"GSE83777","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83777","ChIP-Seq of RNA polymerase and co-factors in Jurkat T-ALL cells","Homo sapiens","2016-06-27","12","rna_seq"
79,"GSE82002","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82002","The methyltransferase Setdb1 is essential for meiosis and mitosis in mouse oocytes and early embryo","Mus musculus","2016-06-27","10",""
80,"GSE65383","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65383","Conditional modeling of MLL-AF9 induced leukemia revealed a stem cell derived aggressive disease [RNA-Seq]","Mus musculus","2016-06-27","15","rna_seq"
81,"GSE57681","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE57681","mature piRNAs expression profile in human bronchial epithelial (HBE) and non-small cell lung cancer (NSCLC) cells","Homo sapiens","2016-06-27","11","rna_seq"
82,"GSE70307","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70307","global gene expression profiling experiments of HSC cultured in cysteine or valine deficient medium by RNA-sequencing analysis","Mus musculus","2016-06-26","3","rna_seq"
83,"GSE72521","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72521","Regulation of Lin28b and let-7 in developmental myelopoiesis","Mus musculus","2016-06-26","17",""
84,"GSE80673","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE80673","Comprehensive transcriptomes of mouse pancreatic islet delta, beta, and alpha cells","Mus musculus","2016-06-26","10",""
85,"GSE58826","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58826","DNA Methylation Predictors of Gene Expression in the 1st Trimester Chorionic Villus: Implications for Prenatal Diagnosis","Homo sapiens","2016-06-25","12","Implications for Pre"
86,"GSE58818","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE58818","Meis1 induces and Prep1 suppresses tumors by exploiting low affinity AP1 binding sites.","Mus musculus","2016-06-25","5",""
87,"GSE78151","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78151","The transcriptome of central nervous system myelin","Mus musculus","2016-06-24","12",""
88,"GSE76983","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76983","Single-cell RNA-seq of sorted and micro-dissected mouse bone marrow cells","Mus musculus","2016-06-24","23","rna_seq"
89,"GSE83692","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83692","DamID in HeLa-C cells","Homo sapiens","2016-06-24","5",""
90,"GSE82073","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82073","Next Generation Sequencing of long-term hematopoietic cells (LT-HSCs) with or without mutations in JAK2 and Ezh2","Mus musculus","2016-06-24","35",""
91,"GSE82072","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE82072","Next Generation Sequencing of megakaryocyte-erythrocyte progenitor cells (MEPs) with or without mutations in JAK2 and Ezh2","Mus musculus","2016-06-24","29",""
92,"GSE81076","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81076","A single-cell transcriptome atlas of the human pancreas","Homo sapiens","2016-06-24","18",""
93,"GSE66086","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE66086","m6A level and isoform characterization sequencing (m6A-LAIC-seq) reveal the census and complexity of the m6A epitranscriptome","Homo sapiens","2016-06-24","12",""
94,"GSE81424","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81424","Identification of an NKX3.1-G9a-UTY regulatory network that controls prostate differentiation (Mouse_4M-Prostate_RNA-Seq)","Mus musculus","2016-06-24","12","rna_seq"
95,"GSE81432","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81432","Identification of an NKX3.1-G9a-UTY regulatory network that controls prostate differentiation (Mouse_Recomb_RNA-Seq)","Mus musculus","2016-06-24","20","rna_seq"
96,"GSE81439","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81439","Identification of an NKX3.1-G9a-UTY regulatory network that controls prostate differentiation (Human_RWPE1_RNA-Seq)","Homo sapiens","2016-06-24","16","rna_seq "
97,"GSE71474","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71474","Epigenomic profiling studies of murine leukemia stem cell (LSC) lines established ex vivo by coexpression of R882H-mutated DNMT3A and NRAS-G12D (ChIP-seq)","Mus musculus","2016-06-23","7",""
98,"GSE71473","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71473","Effect of DNMT3A R882H mutation or WT expression on global DNA methylation patterns of hematopoietic stem/progenitor cells with NRAS G12D co-transduction (eRRBS)","Mus musculus","2016-06-23","3",""
99,"GSE71472","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71472","Effect of DNMT3A R882H mutation or WT expression on epigenetic landscapes of hematopoietic stem/progenitor cells with NRAS G12D co-transduction (ChIP-seq)","Mus musculus","2016-06-23","13",""
100,"GSE70230","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE70230","The EGF Receptor Ligand Amphiregulin Controls Cell Division via FoxM1","Homo sapiens","2016-06-23","8",""
101,"GSE73982","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73982","A Primate lncRNA Mediates Notch Signaling During Neuronal Development by Sequestering miRNA [SHSY5Y cells]","Homo sapiens","2016-06-23","10","rna_seq"
102,"GSE61489","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61489","Mapping RNA-RNA interactome and RNA structures in vivo with MARIO","Mus musculus","2016-06-23","6","rna_seq"
103,"GSE76408","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76408","Single-cell RNA-seq reveals distinct maturation stages of the Paneth cell lineage","Mus musculus","2016-06-23","13","rna_seq"
104,"GSE65849","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE65849","RIA to verify MARIO in mapping RNA-RNA interactome and RNA structures in vivo","Mus musculus","2016-06-23","3","rna_seq"
105,"GSE74207","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74207","A Primate lncRNA Mediates Notch Signaling During Neuronal Development by Sequestering miRNA [single cell sequencing analysis]","Homo sapiens","2016-06-23","60","rna_seq"
106,"GSE83581","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83581","Highly sensitive sequencing reveals dynamic modifications and activities of small RNAs in mouse oocytes and early embryos","Homo sapiens; Mus mu","2016-06-23","24","rna_seq"
107,"GSE77897","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE77897","The Lupus autoantigen La prevents mis-channeling of tRNA fragments into the human microRNA pathway [PAR-CLIP]","Homo sapiens","2016-06-22","4","rna_seq"
108,"GSE83551","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83551","RNA-seq in HepG2 and IMR90 cells","Homo sapiens","2016-06-22","6","rna_seq"
109,"GSE83595","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83595","?Same Difference?: Comprehensive evaluation of four DNA methylation measurement platforms","Homo sapiens","2016-06-22","7",""
110,"GSE76676","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE76676","The Lupus autoantigen La prevents mis-channeling of tRNA fragments into the human microRNA pathway [miRNA-seq]","Homo sapiens","2016-06-22","4","rna_seq"
111,"GSE72404","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72404","NOTCH1 mediates a reciprocal switch between two distinct secretomes during senescence [N1ICD]","Homo sapiens","2016-06-22","24",""
112,"GSE72407","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE72407","NOTCH1 mediates a reciprocal switch between two distinct secretomes during senescence [CSM]","Homo sapiens","2016-06-22","24",""
113,"GSE64171","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64171","The effects of cytosine methylation on general transcription factors","Homo sapiens","2016-06-22","4",""
114,"GSE64877","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE64877","Global re-wiring of p53 transcription regulation by the hepatitis B virus X (HBx) protein [ChIP-Seq]","Homo sapiens","2016-06-22","2",""
115,"GSE81417","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81417","microRNAs with an AAGUGC seed motif constitute an integral part of a signaling network driving NSCLC cell proliferation","Homo sapiens","2016-06-21","6","rna_seq"
116,"GSE81953","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81953","Recruitment of Rod Photoreceptors from Short Wavelength Sensitive Cones during the Evolution of Nocturnal Vision in Mammals","Mus musculus","2016-06-21","9","rna_seq"
117,"GSE78505","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE78505","Regulation of Th17 cell pathogenic function by miR-183/96/182","Mus musculus","2016-06-21","8",""
118,"GSE71003","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71003","Cbx8 acts non-canonically with Wdr5 to promote mammary tumorigenesis [ChIP-Seq]","Homo sapiens; Mus mu","2016-06-21","10",""
119,"GSE74660","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE74660","Recruitment of Rod Photoreceptors from Short Wavelength Sensitive Cones during the Evolution of Nocturnal Vision in Mammals","Mus musculus","2016-06-21","30","rna_seq"
120,"GSE81099","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE81099","Recruitment of Rod Photoreceptors from Short Wavelength Sensitive Cones during the Evolution of Nocturnal Vision in Mammals","Mus musculus","2016-06-21","13","rna_seq"
121,"GSE67481","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE67481","Small RNA Deep Sequencing Analysis of Mouse T Helper Cell (Th) Subsets","Mus musculus","2016-06-21","8","rna_seq"
122,"GSE71076","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE71076","Cbx8 acts non-canonically with Wdr5 to promote mammary tumorigenesis [RNA-Seq]","Mus musculus","2016-06-21","4","rna_seq"
123,"GSE83592","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83592","JQ1 +/- Vemurafenib in BRAF mutant melanoma (A375)","Homo sapiens","2016-06-21","16",""
124,"GSE83531","http://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE83531","Chromatin-enriched lncRNAs are cell type specifc enhancers for proximal genes","Homo sapiens","2016-06-21","16","rna_seq"
